SI2024K000091,226,MJD,FDR-VIOS13ASH,Toyota Vios 13-17 3rd Gen / Yaris 13- 2nd Gen XP150 / Yaris 18- 3rd Gen XP151,1,455000,455000,9/11/2024,225000,6435355.0,Paid,1-10002,0,13
SI2024K000091,226,MJD,FDL-VIOS13ASH,Toyota Vios 13-17 3rd Gen / Yaris 13- 2nd Gen XP150 / Yaris 18- 3rd Gen XP151,1,455000,455000,9/11/2024,225000,6435355.0,Paid,1-10002,0,13
SI2024K000091,226,MJD,RDR-YARIS13ASH,Toyota Yaris 13- 2nd Gen XP150 / 18- 3rd Gen XP151,1,330000,330000,9/11/2024,225000,6435355.0,Paid,1-10002,0,13
SI2024K000121,227,MJD,LFW-CITY02MU,Honda City 02-08 4th Gen Idsi GD8,5,605616,3028080,12/11/2024,240000,7635480.0,Paid,1-10002,0,11
SI2024K000121,227,MJD,LFW-RANGER04MU,Ford Everest 04-15 / Ranger 04-11 / Mazda BT-50,5,463980,2319900,12/11/2024,240000,7635480.0,Paid,1-10002,0,11
SI2024K000121,227,MJD,LFW-CROSSXYG,Toyota Corolla Cross 21-,1,2287500,2287500,12/11/2024,240000,7635480.0,Paid,1-10002,0,11
2411501,228,BGI,TRW-ALPHARD02BLACKXYG,Toyota Alphard 02-08 ANH10 1st Gen (Hitam),1,1635700,1635700,13/11/2024,0,1635700.0,Unpaid,-,60,1
2411515,229,BGI,LFW-MARCHMU,Nissan March 10- K13,1,628650,628650,14/11/2024,0,1257300.0,Unpaid,-,60,2
2411515,229,BGI,LFW-MARCHXYG,Nissan March 10- K13,1,628650,628650,14/11/2024,0,1257300.0,Unpaid,-,60,2
MKS-181124,230,MKS,LFW-FORTUNER05AGC,Toyota Fortuner 05-15  1st Gen (Toyota),1,2340000,2340000,18/11/2024,0,2340000.0,Paid,1-10002,0,1
2411591,231,BGI,LFW-TIMORMU,Kia Timor 95-98 / Sephia 94-05,2,632500,1265000,18/11/2024,0,2847900.0,Unpaid,-,60,4
2411591,231,BGI,LFW-COROLLA95MU,Toyota Corolla All New AE111 95-02 8th Gen KE120,1,791450,791450,18/11/2024,0,2847900.0,Unpaid,-,60,4
2411591,231,BGI,LFW-COROLLA95XYG,Toyota Corolla All New AE111 95-02 8th Gen,1,791450,791450,18/11/2024,0,2847900.0,Unpaid,-,60,4
MKS-191124,232,MKS,LFW-FORTUNER15AGC,Toyota Fortuner 15-  2nd Gen (Toyota),1,738000,738000,19/11/2024,0,738000.0,Paid,1-10002,0,1
06196/2024,233,PJB,TRW-AGYA13ASH,Toyota Agya/Ayla,5,226949.49,1134747.45,19/11/2024,0,1532547.0,Unpaid,-,30,7
06196/2024,233,PJB,TRW-PANTHER00SEALASH,Isuzu Panther 00- 2nd Gen (Sealant),2,198899.79,397799.58,19/11/2024,0,1532547.0,Unpaid,-,30,7
2411762,234,BGI,TRW-C24XYG,Nissan Serena 99-10 MKII C24,1,1510300,1510300,21/11/2024,0,1510300.0,Unpaid,-,60,1
2411789,235,BGI,LFW-TATAACEXYG,Tata Superace 11-,3,594000,1782000,22/11/2024,0,1782000.0,Unpaid,-,60,3
06303/2024,236,PJB,TRW-KAPSUL02ASH,Toyota Kijang 02-04 Kapsul Lem Efi ,5,416499.65,2082498.25,22/11/2024,0,2082498.3,Unpaid,-,30,5
MKS-231124,237,MKS,LFW-FORTUNER15AGC,Toyota Fortuner 15-  2nd Gen (Toyota),3,738000,2214000,23/11/2024,0,2214000.0,Paid,1-10002,0,3
TBM-251124,238,TBM,LFW-XPANDERAGC,Mitsubishi Xpander 17- / Livina 19- 2nd Gen (Mitsubishi),1,1900000,1900000,25/11/2024,0,1900000.0,Paid,1-10002,0,1
2411812,239,BGI,LFW-SANTAFE12XYG,Hyundai Santa Fe 12-18,1,1164900,1164900,25/11/2024,0,1164900.0,Unpaid,-,60,1
2411826,240,BGI,LFW-W203RS1XYG,Mers-Benz C-Class 00-07 W203 (1 Sensor/ ? Tengah),2,2167550,4335100,25/11/2024,0,7033400.0,Unpaid,-,60,4
2411826,240,BGI,TRW-F30FY,BMW 3 Series 12-18 F30/F35,2,1349150,2698300,25/11/2024,0,7033400.0,Unpaid,-,60,4
