SI2024E000137;63;15/05/2024;1;MJD;833333,33;31764140;Completed;Paid;"1-10002";0;78
SI2024E000159;64;15/05/2024;1;MJD;0;1460000;Completed;Paid;"1-10002";0;3
SJ000986;65;27/05/2024;3;RJG;0;5100000;Completed;Paid;"1-10002";60;5
2405775;66;30/05/2024;2;BGI;0;1881550;Completed;Paid;"1-10002";60;3
2405806;67;31/05/2024;2;BGI;0;1016400;Completed;Paid;"1-10002";60;1
M202406004;68;03/06/2024;2;BGI;0;2640000;Completed;Paid;"1-10002";0;80
2406026;69;03/06/2024;2;BGI;0;4120000;Completed;Paid;"1-10002";60;4
2406070;70;04/06/2024;2;BGI;0;1090650;Completed;Paid;"1-10002";60;1
SI2024F000049;71;05/06/2024;1;MJD;0;1777750;Completed;Paid;"1-10002";0;2
SJ000991;72;06/06/2024;3;RJG;0;3750000;Completed;Paid;"1-10002";60;2
2406148;73;06/06/2024;2;BGI;0;1925550;Completed;Paid;"1-10002";60;2
02871/2024;74;07/06/2024;4;PJB;0;399500;Completed;Paid;"1-10002";30;5
SJ000995;75;08/06/2024;3;RJG;0;1864000;Completed;Paid;"1-10002";60;2
02906/2024;76;10/06/2024;4;PJB;0;4679254,35;Completed;Paid;"1-10002";30;20
SMM-120624;77;12/06/2024;13;SMM;0;90000;Completed;Paid;"1-10002";0;1
SI2024E000076;78;15/05/2024;1;MJD;2.666.666.667;110129316;Completed;Unpaid;-;1825;200
2406226;79;11/06/2024;2;BGI;0;1423400;Completed;Paid;"1-10002";60;2
2406261;80;11/06/2024;2;BGI;0;2545950;Completed;Paid;"1-10002";60;2
0375/2024;81;18/06/2024;4;PJB;0;3935499;Completed;Paid;"1-10002";30;5
2406212;82;10/06/2024;2;BGI;0;2341350;Completed;Paid;"1-10002";60;1
2406425;83;18/06/2024;2;BGI;0;907500;Completed;Paid;"1-10002";60;1
2406379;84;18/06/2024;2;BGI;0;6888200;Completed;Paid;"1-10002";60;8
SKS100624;85;10/06/2024;6;SKS;0;2763000;Completed;Paid;"1-10002";0;8
SI2024F000168;86;18/06/2024;1;MJD;0;4741500;Completed;Paid;"1-10002";0;3
SJ001006;87;19/06/2024;3;RJG;0;4110000;Completed;Paid;"1-10002";60;5
SI2024F000186;88;20/06/2024;1;MJD;0;4639800;Completed;Paid;"1-10002";0;10
2406461;89;20/06/2024;2;BGI;0;3105300;Completed;Paid;"1-10002";60;3
2406518;90;21/06/2024;2;BGI;0;3573900;Completed;Paid;"1-10002";60;2
2406537;91;24/06/2024;2;BGI;0;842000;Completed;Paid;"1-10002";60;2
2406532;92;24/06/2024;2;BGI;0;1359600;Completed;Paid;"1-10002";60;2
03254/2024;93;24/06/2024;4;PJB;0;267748,45;Completed;Paid;"1-10002";30;5
2406578;94;25/06/2024;2;BGI;0;2590500;Completed;Paid;"1-10002";60;3
260624;95;26/06/2024;8;BYO;0;1312000;Completed;Paid;"1-10002";0;23
2406645;96;27/06/2024;2;BGI;0;899800;Completed;Paid;"1-10002";60;2
2407016;97;01/07/2024;2;BGI;0;797500;Completed;Paid;"1-10002";60;1
2407027;98;01/07/2024;2;BGI;0;744000;Completed;Paid;"1-10002";60;2
2407052;99;02/07/2024;2;BGI;0;971300;Completed;Paid;"1-10002";60;1
SI2024G000005;100;01/07/2024;1;MJD;0;377750;Completed;Paid;"1-10002";0;2
